TABLE_NAME	ENGINE	TABLE_COLLATION	TABLE_COMMENT
admin_user_menu_permissions	InnoDB	utf8mb4_unicode_ci	
agent_conversations	InnoDB	utf8mb4_general_ci	
agent_executions	InnoDB	utf8mb4_general_ci	
agent_messages	InnoDB	utf8mb4_general_ci	
agent_state	InnoDB	utf8mb4_general_ci	
agent_tasks	InnoDB	utf8mb4_general_ci	
ai_agent_logs	InnoDB	utf8mb4_general_ci	
ai_agent_personality	InnoDB	utf8mb4_general_ci	
ai_agent_state	InnoDB	utf8mb4_general_ci	
ai_anomalies	InnoDB	utf8mb4_general_ci	
ai_audit_log	InnoDB	utf8mb4_general_ci	
ai_bot_performance	InnoDB	utf8mb4_general_ci	
ai_bot_policies	InnoDB	utf8mb4_general_ci	
ai_call_logs	InnoDB	utf8mb4_general_ci	
ai_call_scripts	InnoDB	utf8mb4_general_ci	
ai_chatbot_config	InnoDB	utf8mb4_general_ci	
ai_chatbot_conversations	InnoDB	utf8mb4_general_ci	
ai_chat_history	InnoDB	utf8mb4_general_ci	
ai_config	InnoDB	utf8mb4_general_ci	
ai_configuration	InnoDB	utf8mb4_general_ci	
ai_context_memory	InnoDB	utf8mb4_general_ci	
ai_conversation_states	InnoDB	utf8mb4_general_ci	
ai_data_pipelines	InnoDB	utf8mb4_general_ci	
ai_ecosystem_tools	InnoDB	utf8mb4_general_ci	
ai_generated_content	InnoDB	utf8mb4_unicode_ci	
ai_implementation_guides	InnoDB	utf8mb4_general_ci	
ai_integrations	InnoDB	utf8mb4_general_ci	
ai_interactions	InnoDB	utf8mb4_general_ci	
ai_interaction_logs	InnoDB	utf8mb4_general_ci	
ai_jobs	InnoDB	utf8mb4_general_ci	
ai_knowledge_graph	InnoDB	utf8mb4_general_ci	
ai_lead_agent_jobs	InnoDB	utf8mb4_general_ci	
ai_learning_progress	InnoDB	utf8mb4_general_ci	
ai_logs	InnoDB	utf8mb4_general_ci	
ai_market_trends	InnoDB	utf8mb4_general_ci	
ai_property_suggestions	InnoDB	utf8mb4_unicode_ci	
ai_property_valuations	InnoDB	utf8mb4_general_ci	
ai_recommendations_test	InnoDB	utf8mb4_general_ci	
ai_tools_directory	InnoDB	utf8mb4_general_ci	
ai_training_sessions	InnoDB	utf8mb4_general_ci	
ai_usage_analytics	InnoDB	utf8mb4_unicode_ci	
ai_user_behavior	InnoDB	utf8mb4_general_ci	
ai_user_interactions	InnoDB	utf8mb4_general_ci	
ai_user_learning_progress	InnoDB	utf8mb4_general_ci	
ai_user_preferences	InnoDB	utf8mb4_general_ci	
ai_user_suggestions	InnoDB	utf8mb4_general_ci	
ai_workflows	InnoDB	utf8mb4_general_ci	
ai_workflow_patterns	InnoDB	utf8mb4_general_ci	
alert_matches	InnoDB	utf8mb4_general_ci	
analytics_dashboards	InnoDB	utf8mb4_general_ci	
api_developers	InnoDB	utf8mb4_unicode_ci	
attendance_settings	InnoDB	utf8mb4_general_ci	
auction_bids	InnoDB	utf8mb4_unicode_ci	
auction_deposits	InnoDB	utf8mb4_unicode_ci	
auction_watchers	InnoDB	utf8mb4_unicode_ci	
auc_call_logs	InnoDB	utf8mb4_general_ci	
auc_sim_config	InnoDB	utf8mb4_general_ci	
auc_voice_bot_sessions	InnoDB	utf8mb4_general_ci	
buyer_interests	InnoDB	utf8mb4_unicode_ci	
campaign_deliveries	InnoDB	utf8mb4_general_ci	
career_applications	InnoDB	utf8mb4_general_ci	
chat_agents	InnoDB	utf8mb4_unicode_ci	
chat_canned_responses	InnoDB	utf8mb4_unicode_ci	
chat_conversations	InnoDB	utf8mb4_general_ci	
chat_participants	InnoDB	utf8mb4_general_ci	
commission_calculation_rules	InnoDB	utf8mb4_general_ci	
contacts	InnoDB	utf8mb4_general_ci	
crm_assignments	InnoDB	utf8mb4_general_ci	
crm_form_submissions	InnoDB	utf8mb4_general_ci	
crm_lead_scores_history	InnoDB	utf8mb4_general_ci	
crm_lead_sources_extended	InnoDB	utf8mb4_general_ci	
crm_whatsapp_messages	InnoDB	utf8mb4_general_ci	
customer_behavior_analysis	InnoDB	utf8mb4_general_ci	
customer_journeys	InnoDB	utf8mb4_general_ci	
customer_mandates	InnoDB	utf8mb4_general_ci	
customer_referrals	InnoDB	utf8mb4_general_ci	
daily_metrics_summary	InnoDB	utf8mb4_general_ci	
daily_operations_log	InnoDB	utf8mb4_general_ci	
demand_letter_template	InnoDB	utf8mb4_unicode_ci	
department_budgets	InnoDB	utf8mb4_general_ci	
document_classification	InnoDB	utf8mb4_general_ci	
drip_email_log	InnoDB	utf8mb4_general_ci	
drip_enrollments	InnoDB	utf8mb4_general_ci	
dunning_log	InnoDB	utf8mb4_general_ci	
emi_calculations	InnoDB	utf8mb4_general_ci	
employee_advances	InnoDB	utf8mb4_general_ci	
employee_bonuses	InnoDB	utf8mb4_general_ci	
engagement_goals	InnoDB	utf8mb4_unicode_ci	
failed_jobs	InnoDB	utf8mb4_general_ci	
failed_login_attempts	InnoDB	utf8mb4_general_ci	
farmer_commissions	InnoDB	utf8mb4_general_ci	
file_access_logs	InnoDB	utf8mb4_general_ci	
file_shares	InnoDB	utf8mb4_general_ci	
file_tags	InnoDB	utf8mb4_general_ci	
file_tag_relations	InnoDB	utf8mb4_general_ci	
file_versions	InnoDB	utf8mb4_general_ci	
forecast_results	InnoDB	utf8mb4_general_ci	
hybrid_commission_plans	InnoDB	utf8mb4_general_ci	
hybrid_commission_records	InnoDB	utf8mb4_general_ci	
incomplete_registrations	InnoDB	utf8mb4_general_ci	
job_batches	InnoDB	utf8mb4_general_ci	
land_acquisition_payments	InnoDB	utf8mb4_unicode_ci	
land_brokers	InnoDB	utf8mb4_unicode_ci	
land_deal_payments	InnoDB	utf8mb4_unicode_ci	
land_documents	InnoDB	utf8mb4_unicode_ci	
land_legal_opinions	InnoDB	utf8mb4_unicode_ci	
land_site_visits	InnoDB	utf8mb4_unicode_ci	
lead_pipeline	InnoDB	utf8mb4_general_ci	
lead_pipeline_activities	InnoDB	utf8mb4_general_ci	
map_cache	InnoDB	utf8mb4_general_ci	
marketing_campaign_recipients	InnoDB	utf8mb4_general_ci	
market_analytics_summary	InnoDB	utf8mb4_general_ci	
mlm_advanced_analytics	InnoDB	utf8mb4_general_ci	
mlm_associate_metrics	InnoDB	utf8mb4_unicode_ci	
mlm_associate_registrations	InnoDB	utf8mb4_unicode_ci	
mlm_goals	InnoDB	utf8mb4_unicode_ci	
mlm_goal_events	InnoDB	utf8mb4_unicode_ci	
mlm_goal_progress	InnoDB	utf8mb4_unicode_ci	
mlm_leaderboard_snapshots	InnoDB	utf8mb4_unicode_ci	
mlm_notification_preferences	InnoDB	utf8mb4_unicode_ci	
mlm_qualification_log	InnoDB	utf8mb4_general_ci	
mlm_salary_grants	InnoDB	utf8mb4_general_ci	
nach_debit_log	InnoDB	utf8mb4_general_ci	
nach_mandates	InnoDB	utf8mb4_general_ci	
nearby_places	InnoDB	utf8mb4_general_ci	
noc_requests	InnoDB	utf8mb4_general_ci	
notification_settings	InnoDB	utf8mb4_general_ci	
nps_responses	InnoDB	utf8mb4_unicode_ci	
nps_schedule	InnoDB	utf8mb4_general_ci	
ocr_extracted_fields	InnoDB	utf8mb4_general_ci	
payment_webhook_logs	InnoDB	utf8mb4_general_ci	
pincodes	InnoDB	utf8mb4_unicode_ci	
plot_locks	InnoDB	utf8mb4_general_ci	
plot_status_history	InnoDB	utf8mb4_unicode_ci	
price_alerts	InnoDB	utf8mb4_general_ci	
progressive_registrations	InnoDB	utf8mb4_general_ci	
project_documents	InnoDB	utf8mb4_general_ci	
property_ai_tags	InnoDB	utf8mb4_general_ci	
property_alerts	InnoDB	utf8mb4_general_ci	
property_alert_log	InnoDB	utf8mb4_general_ci	
property_analytics	InnoDB	utf8mb4_general_ci	
property_commissions	InnoDB	utf8mb4_unicode_ci	
property_coordinates	InnoDB	utf8mb4_general_ci	
property_market_data	InnoDB	utf8mb4_general_ci	
property_submissions	InnoDB	utf8mb4_general_ci	
property_valuations	InnoDB	utf8mb4_general_ci	
push_notifications	InnoDB	utf8mb4_general_ci	
push_subscriptions	InnoDB	utf8mb4_general_ci	
queue_jobs	InnoDB	utf8mb4_general_ci	
queue_workers	InnoDB	utf8mb4_general_ci	
recently_viewed	InnoDB	utf8mb4_general_ci	
reconciliation_collections	InnoDB	utf8mb4_general_ci	
registries	InnoDB	utf8mb4_unicode_ci	
report_executions	InnoDB	utf8mb4_general_ci	
rera_compliance_log	InnoDB	utf8mb4_unicode_ci	
rera_requests	InnoDB	utf8mb4_unicode_ci	
